package, guess, num_versions, num_parsed_versions, breaking_versions
HXQ, PVP, 29, 16, 0.8, 0.8.4, 0.8.5, 0.11.0, 0.14.0, 0.16.0, 0.17.0, 0.18.0, 0.19.0
HaLeX, Unknown, 5, 0, 
HaMinitel, Unknown, 1, 0, 
HaPy, Unknown, 2, 0, 
HaRe, PVP, 38, 14, 0.7.2.4, 0.7.2.5, 0.7.2.6, 0.8.0.0, 0.8.1.0, 0.8.1.1, 0.8.2.3, 0.8.3.0
HaTeX, PVP, 39, 27, 1.0.1, 2.0.0, 2.1.3, 3.0.0, 3.5, 3.6, 3.7.0.0, 3.8.0.0, 3.12.0.0, 3.13.0.0, 3.14.0.0, 3.15.0.0, 3.16.2.0
HaTeX-meta, Unknown, 4, 0, 
HaTeX-qq, Unknown, 4, 2, 
HaVSA, Unknown, 3, 1, 
HaXml, PVP, 29, 7, 1.19.6, 1.19.7, 1.20, 1.20.2
Hach, PVP, 5, 3, 0.1.0, 0.1.1
HackMail, Unknown, 2, 1, 
Haggressive, Unknown, 4, 0, 
HandlerSocketClient, Unknown, 5, 3, 0.0.3
HandsomeSoup, Unknown, 10, 9, 0.3.2, 0.3.3
Hangman, Unknown, 3, 0, 
HarmTrace, Unknown, 12, 0, 
HarmTrace-Base, Unknown, 7, 6, 1.4.0.1, 1.5.3.1
HasGP, Unknown, 1, 0, 
Haschoo, Unknown, 4, 0, 
Hashell, Unknown, 2, 0, 
HaskRel, Unknown, 3, 0, 
HaskellForMaths, Unknown, 26, 0, 
HaskellLM, Unknown, 3, 2, 
HaskellNN, Unknown, 4, 0, 
HaskellNet, Unknown, 15, 1, 
HaskellNet-SSL, PVP, 16, 8, 0.2.5, 0.3.0.0, 0.3.1.0
HaskellTorrent, Unknown, 3, 0, 
HaskellTutorials, Unknown, 1, 0, 
Haskelloids, Unknown, 2, 0, 
Hate, Unknown, 2, 0, 
Hawk, Unknown, 1, 0, 
Hayoo, Unknown, 2, 0, 
Hclip, SemVer, 12, 6, 1.0.0.0, 1.0.0.1, 3.0.0.4
Hedi, Unknown, 2, 1, 0.1.1
HerbiePlugin, Unknown, 2, 0, 
Hermes, Unknown, 4, 1, 
Hieroglyph, Unknown, 19, 0, 
HiggsSet, Unknown, 2, 0, 
Hipmunk, PVP, 26, 20, 0.2.2, 5.0.0, 5.1.0, 5.2.0, 5.2.0.1
HipmunkPlayground, Unknown, 15, 0, 
Hish, PVP, 9, 7, 0.1.0, 0.1.1.0, 0.1.2.3
Histogram, Unknown, 3, 2, 
Hmpf, Unknown, 1, 0, 
Hoed, PVP, 12, 3, 0.2.0
HoleyMonoid, Unknown, 2, 1, 0.1.1
Holumbus-Distribution, PVP, 4, 3, 0.1.0
